epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rgrecl_loss,train_rgrecl_weighted_loss,train_rgrecl_hard_region_fraction,train_rgrecl_sampled_hard_fraction,train_rgrecl_positive_similarity
1,0.00010000,0.733124,0.266802,10.5023,0.178373,40,0,0.92034977,65536.0,0.315339,0.209585,11.7644,0.232026,0.212769,11.7326,0.254295,0.08889996,0.85712688,0.26680215,0.20958464,0.75413634,0.71381766,0.05666722,0.04472258,0.00598377,0.00172161,0.12006096,0.09431309,0.22624091,0.21414531,0.00850008,0.00670839,0.00059838,0.00017216,0.35540034,7.55448122,0.37772407,0.20000694,0.26526693,0.43753936
2,0.00009998,0.663116,0.233653,11.4853,0.213463,40,0,0.50540283,65536.0,0.308098,0.202391,12.0653,0.244384,0.204945,12.0243,0.268966,0.09040754,0.83772941,0.23365321,0.20239108,0.71507831,0.70049184,0.05049779,0.04454802,0.00331100,0.00191824,0.10514394,0.09107598,0.21452350,0.21014756,0.00757467,0.00668220,0.00033110,0.00019182,0.32757322,6.71084802,0.33554241,0.20000694,0.26503906,0.57038993
3,0.00009990,0.631116,0.217442,11.9300,0.223663,40,0,0.42478893,65536.0,0.302505,0.194603,12.3691,0.250761,0.197216,12.3085,0.275781,0.08950179,0.82870870,0.21744245,0.19460309,0.69951562,0.69380814,0.05009335,0.04383680,0.00315282,0.00215296,0.09784910,0.08757139,0.20985470,0.20814245,0.00751400,0.00657552,0.00031528,0.00021530,0.31553308,6.31166043,0.31558303,0.20000694,0.26308594,0.62634171
4,0.00009978,0.615309,0.211336,12.2027,0.231810,40,0,0.42932343,65536.0,0.298623,0.188833,12.5683,0.255185,0.191172,12.5266,0.280301,0.09045473,0.82912919,0.21133575,0.18883328,0.69494950,0.68947278,0.04735903,0.04390433,0.00307995,0.00221011,0.09510108,0.08497497,0.20848486,0.20684184,0.00710385,0.00658565,0.00030800,0.00022101,0.31099779,6.08621864,0.30431094,0.20000694,0.26051432,0.66111334
5,0.00009961,0.616527,0.218959,11.9006,0.208313,40,0,0.41408732,65536.0,0.295766,0.185827,12.6560,0.258500,0.189532,12.5608,0.283461,0.08955760,0.82646254,0.21895856,0.18582746,0.72009312,0.68455840,0.04790018,0.04348655,0.00276615,0.00253290,0.09853135,0.08362235,0.21602794,0.20536753,0.00718503,0.00652298,0.00027661,0.00025329,0.32202093,5.89011250,0.29450563,0.20000694,0.25940755,0.68477677
6,0.00009939,0.598363,0.205936,12.3368,0.225738,40,0,0.42538648,65536.0,0.290877,0.182202,12.7020,0.268729,0.187160,12.5920,0.293161,0.08944960,0.82889388,0.20593555,0.18220225,0.69946083,0.67365567,0.04731195,0.04353121,0.00348088,0.00259903,0.09267099,0.08199101,0.20983826,0.20209671,0.00709679,0.00652968,0.00034809,0.00025990,0.30995413,5.76817209,0.28840861,0.20000694,0.25742188,0.69555435
7,0.00009912,0.585538,0.194520,12.5805,0.238243,40,0,0.40380261,65536.0,0.287703,0.175835,13.0210,0.266414,0.179341,12.9450,0.290900,0.09001459,0.83347528,0.19452007,0.17583548,0.68478982,0.67257851,0.04687979,0.04390545,0.00411632,0.00217335,0.08753403,0.07912596,0.20543695,0.20177356,0.00703197,0.00658582,0.00041163,0.00021734,0.30041458,5.70246640,0.28512333,0.20000694,0.25813802,0.70000298
8,0.00009881,0.580023,0.190254,12.8367,0.237119,40,0,0.42415025,65536.0,0.284519,0.174475,12.9979,0.275270,0.179210,12.8901,0.299939,0.08846811,0.83015344,0.19025380,0.17447511,0.68327385,0.66416553,0.04690539,0.04325836,0.00360899,0.00266515,0.08561421,0.07851380,0.20498216,0.19924967,0.00703581,0.00648875,0.00036090,0.00026651,0.29799308,5.64060278,0.28203014,0.20000694,0.25768229,0.71020168
9,0.00009844,0.584455,0.194695,12.6459,0.244814,40,0,0.41501377,65536.0,0.283869,0.168541,13.3201,0.270874,0.171907,13.2419,0.295785,0.09045578,0.82473103,0.19469484,0.16854107,0.67907816,0.67071976,0.04610770,0.04374207,0.00416323,0.00248702,0.08761267,0.07584348,0.20372346,0.20121593,0.00691616,0.00656131,0.00041632,0.00024870,0.29866861,5.71572201,0.28578610,0.20000694,0.25628255,0.70267027
10,0.00009803,0.577619,0.194901,12.7224,0.237368,40,0,0.50154260,65536.0,0.281181,0.169222,13.1338,0.281440,0.174152,13.0235,0.305564,0.08874992,0.83406015,0.19490134,0.16922210,0.68412258,0.66086004,0.04603316,0.04351543,0.00452996,0.00245296,0.08770560,0.07614994,0.20523679,0.19825802,0.00690497,0.00652732,0.00045300,0.00024530,0.30030035,5.54638095,0.27731905,0.20000694,0.25569661,0.72098103
11,0.00009758,0.566181,0.183393,12.9978,0.244479,40,0,0.39510321,65536.0,0.272576,0.163711,13.3412,0.296409,0.169670,13.2273,0.318567,0.08786782,0.82540324,0.18339302,0.16371069,0.67256482,0.64070141,0.04611384,0.04308530,0.00385978,0.00233052,0.08252686,0.07366981,0.20176945,0.19221043,0.00691708,0.00646280,0.00038598,0.00023305,0.29159937,5.49162704,0.27458136,0.20000694,0.25784505,0.72482004
12,0.00009707,0.569923,0.184635,13.0280,0.249882,40,0,0.50933473,65536.0,0.277588,0.163927,13.4266,0.282941,0.168001,13.3078,0.308301,0.08760884,0.83003554,0.18463472,0.16392698,0.67059100,0.65690585,0.04556816,0.04296708,0.00417730,0.00303767,0.08308562,0.07376714,0.20117731,0.19707176,0.00683522,0.00644506,0.00041773,0.00030377,0.29151588,5.56814055,0.27840703,0.20000694,0.24843750,0.72124973
13,0.00009652,0.558493,0.180361,13.1419,0.244407,40,0,0.43573494,65536.0,0.269920,0.160382,13.4253,0.297897,0.165161,13.3849,0.321689,0.08608922,0.82882662,0.18036054,0.16038242,0.67339399,0.63683645,0.04559393,0.04251891,0.00373657,0.00319136,0.08116224,0.07217209,0.20201820,0.19105094,0.00683909,0.00637784,0.00037366,0.00031914,0.29039319,5.36200578,0.26810029,0.20000694,0.25074870,0.74065498
14,0.00009593,0.566034,0.189603,12.9408,0.240352,40,0,0.52980612,65536.0,0.271991,0.160641,13.4386,0.298740,0.167553,13.2732,0.319028,0.08692681,0.83135175,0.18960288,0.16064131,0.68056388,0.64325561,0.04507948,0.04279621,0.00425382,0.00305942,0.08532130,0.07228859,0.20416917,0.19297669,0.00676192,0.00641943,0.00042538,0.00030594,0.29667777,5.38712516,0.26935626,0.20000694,0.25507813,0.73245588
15,0.00009529,0.550861,0.180818,13.3044,0.241200,40,0,0.48784188,65536.0,0.267837,0.157188,13.5476,0.303071,0.163094,13.4152,0.326727,0.08589957,0.84010239,0.18081813,0.15718826,0.67565219,0.63474885,0.04505093,0.04243234,0.00395808,0.00312283,0.08136816,0.07073471,0.20269567,0.19042466,0.00675764,0.00636485,0.00039581,0.00031228,0.29121727,5.19287982,0.25964399,0.20000694,0.25556641,0.74703624
16,0.00009460,0.546154,0.174236,13.3763,0.262845,40,0,0.56868210,65536.0,0.264066,0.155423,13.5604,0.317253,0.162656,13.4397,0.334434,0.08771606,0.82017288,0.17423614,0.15542318,0.65609073,0.62464635,0.04390943,0.04278971,0.00382541,0.00313082,0.07840626,0.06994043,0.19682723,0.18739391,0.00658641,0.00641846,0.00038254,0.00031308,0.28220244,5.27902358,0.26395118,0.20000694,0.25563151,0.73146681
17,0.00009388,0.532615,0.162299,13.7702,0.277026,40,0,0.52638909,65536.0,0.260375,0.153915,13.5727,0.323615,0.161302,13.4582,0.340538,0.08641736,0.82731047,0.16229940,0.15391522,0.63501179,0.61475083,0.04485367,0.04250466,0.00452762,0.00311907,0.07303473,0.06926185,0.19050355,0.18442526,0.00672805,0.00637570,0.00045276,0.00031191,0.27071909,5.23792005,0.26189601,0.20000694,0.25130208,0.72547993
18,0.00009311,0.544001,0.169440,13.3984,0.270909,40,0,0.57770679,65536.0,0.258633,0.152195,13.7651,0.324519,0.159914,13.6032,0.341661,0.08479590,0.82593092,0.16944023,0.15219526,0.64266647,0.61175245,0.04477529,0.04213090,0.00522749,0.00299989,0.07624810,0.06848787,0.19279995,0.18352574,0.00671629,0.00631964,0.00052275,0.00029999,0.27628709,5.35428756,0.26771438,0.20000694,0.25374349,0.71847225
19,0.00009229,0.538123,0.167660,13.6082,0.267617,40,0,0.52766319,65536.0,0.249269,0.150339,13.7855,0.346755,0.158504,13.6463,0.360349,0.08418203,0.81362840,0.16765991,0.15033885,0.64673714,0.58349279,0.04354587,0.04161794,0.00457721,0.00326159,0.07544696,0.06765248,0.19402115,0.17504784,0.00653188,0.00624269,0.00045772,0.00032616,0.27645771,5.23330370,0.26166519,0.20000694,0.25358073,0.73286081
20,0.00009144,0.538748,0.166450,13.7334,0.262753,40,0,0.60100354,65536.0,0.263236,0.152671,13.6387,0.318384,0.160599,13.4442,0.332557,0.08552118,0.83944129,0.16645033,0.15267147,0.65360727,0.62594991,0.04367594,0.04235854,0.00379497,0.00394995,0.07490265,0.06870216,0.19608219,0.18778498,0.00655139,0.00635378,0.00037950,0.00039499,0.27791573,5.21665090,0.26083255,0.20000694,0.25397135,0.73296413
