epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rarecl_latent_loss,train_rarecl_region_loss,train_rarecl_weighted_latent_loss,train_rarecl_weighted_region_loss,train_rarecl_hard_region_fraction,train_rarecl_sampled_hard_fraction,train_rarecl_latent_similarity,train_rarecl_region_positive_similarity
1,0.00010000,0.762407,0.265495,10.5381,0.178278,40,0,0.92414168,65536.0,0.315346,0.208658,11.7980,0.231455,0.212097,11.7628,0.253319,0.09038531,0.85563544,0.26549479,0.20865805,0.75402603,0.71495923,0.05633251,0.04524245,0.00571379,0.00175913,0.11947265,0.09389612,0.22620782,0.21448778,0.00844988,0.00678637,0.00057138,0.00017591,0.35470173,0.54909484,7.60501593,0.02745474,0.38025080,0.20000694,0.26432292,0.45090516,0.44896756
2,0.00009998,0.682949,0.232818,11.5081,0.213271,40,0,0.48759303,65536.0,0.306442,0.199537,12.1492,0.245465,0.202460,12.1047,0.269710,0.08995004,0.83700395,0.23281790,0.19953740,0.71525618,0.69928268,0.05044790,0.04446235,0.00333702,0.00196462,0.10476805,0.08979183,0.21457686,0.20978481,0.00756718,0.00666935,0.00033370,0.00019646,0.32724580,0.38481768,6.72924914,0.01924088,0.33646246,0.20000694,0.26168620,0.61518232,0.61144234
3,0.00009990,0.648374,0.214969,12.0253,0.223912,40,0,0.42146853,65536.0,0.301899,0.190726,12.5490,0.247659,0.192837,12.5034,0.272143,0.09045039,0.82788486,0.21496890,0.19072613,0.69982981,0.69747646,0.04991932,0.04411347,0.00344927,0.00212638,0.09673600,0.08582676,0.20994895,0.20924295,0.00748790,0.00661702,0.00034493,0.00021264,0.31451778,0.31727816,6.35984099,0.01586391,0.31799206,0.20000694,0.25755208,0.68272184,0.67904852
4,0.00009978,0.629662,0.211017,12.2202,0.231783,40,0,0.41792666,65536.0,0.297976,0.186996,12.6274,0.255218,0.189665,12.5868,0.279884,0.09069830,0.82559086,0.21101717,0.18699628,0.69552607,0.69001994,0.04733459,0.04397722,0.00325026,0.00224811,0.09495773,0.08414832,0.20865783,0.20700599,0.00710019,0.00659658,0.00032503,0.00022481,0.31104077,0.27091939,6.10151328,0.01354597,0.30507567,0.20000694,0.25924479,0.72908061,0.72529379
5,0.00009961,0.628853,0.218145,11.9606,0.208164,40,0,0.40610896,65536.0,0.295144,0.184081,12.7428,0.258378,0.186892,12.6708,0.283693,0.08958635,0.82666926,0.21814509,0.18408099,0.72029222,0.68507462,0.04799838,0.04355764,0.00282429,0.00251751,0.09816529,0.08283644,0.21608767,0.20552239,0.00719976,0.00653365,0.00028243,0.00025175,0.32173515,0.24444857,5.89791437,0.01222243,0.29489572,0.20000694,0.25804036,0.75555144,0.75291509
6,0.00009939,0.614363,0.206103,12.3516,0.224716,40,0,0.45008228,65536.0,0.291484,0.180819,12.7952,0.265740,0.184220,12.7219,0.290969,0.08960428,0.82992071,0.20610339,0.18081870,0.70113699,0.67772631,0.04735908,0.04364895,0.00361058,0.00250128,0.09274652,0.08136841,0.21034111,0.20331790,0.00710386,0.00654734,0.00036106,0.00025013,0.31055255,0.23714697,5.83906230,0.01185735,0.29195312,0.20000694,0.25540365,0.76285303,0.76123103
7,0.00009912,0.599463,0.194589,12.6158,0.237529,40,0,0.39933326,65536.0,0.288503,0.175032,13.0924,0.263751,0.177936,13.0340,0.288290,0.09043422,0.82922442,0.19458905,0.17503246,0.68677953,0.67639600,0.04719856,0.04398326,0.00413898,0.00222502,0.08756507,0.07876461,0.20603387,0.20291881,0.00707978,0.00659749,0.00041390,0.00022250,0.30109262,0.22296465,5.74444225,0.01114823,0.28722212,0.20000694,0.25696615,0.77703535,0.77434057
8,0.00009881,0.591437,0.190519,12.8280,0.235709,40,0,0.38357433,65536.0,0.285452,0.173701,13.0800,0.271590,0.176505,13.0132,0.297807,0.08841904,0.82795755,0.19051886,0.17370078,0.68530626,0.66840602,0.04714633,0.04324741,0.00357740,0.00277336,0.08573349,0.07816535,0.20559189,0.20052182,0.00707195,0.00648711,0.00035774,0.00027734,0.29875506,0.21152265,5.64210980,0.01057613,0.28210550,0.20000694,0.25813802,0.78847735,0.78505454
9,0.00009844,0.595608,0.195171,12.6406,0.242667,40,0,0.41487567,65536.0,0.284050,0.169381,13.2895,0.271651,0.172560,13.2138,0.296731,0.09004705,0.81944329,0.19517114,0.16938108,0.68144067,0.67008815,0.04637431,0.04359808,0.00432697,0.00262810,0.08782701,0.07622149,0.20443221,0.20102645,0.00695615,0.00653971,0.00043270,0.00026281,0.29964806,0.21893086,5.70026983,0.01094654,0.28501350,0.20000694,0.25413411,0.78106914,0.77828403
10,0.00009803,0.592352,0.195037,12.7382,0.235440,40,0,0.43087401,65536.0,0.279255,0.168403,13.2304,0.281910,0.171900,13.1603,0.307580,0.08744416,0.82817619,0.19503674,0.16840258,0.68543894,0.65581759,0.04651252,0.04303210,0.00460069,0.00273325,0.08776653,0.07578116,0.20563169,0.19674529,0.00697688,0.00645482,0.00046007,0.00027332,0.30083517,0.20705322,5.62328260,0.01035266,0.28116414,0.20000694,0.25999349,0.79294677,0.79089195
11,0.00009758,0.576235,0.182955,13.0492,0.243109,40,0,0.48035613,65536.0,0.273465,0.163592,13.3578,0.292553,0.168343,13.2707,0.316750,0.08690626,0.82677010,0.18295475,0.16359238,0.67176220,0.64385022,0.04670455,0.04288951,0.00408334,0.00260054,0.08232964,0.07361657,0.20152867,0.19315508,0.00700568,0.00643343,0.00040833,0.00026005,0.29127232,0.19463644,5.50461849,0.00973182,0.27523093,0.20000694,0.25595703,0.80536357,0.80212823
12,0.00009707,0.581870,0.184570,13.0478,0.248944,40,0,0.43000765,65536.0,0.274863,0.161797,13.5960,0.283805,0.164729,13.5177,0.310158,0.08733641,0.82234142,0.18456979,0.16179729,0.67167918,0.65111193,0.04595156,0.04285728,0.00410224,0.00292248,0.08305640,0.07280878,0.20150376,0.19533359,0.00689273,0.00642859,0.00041022,0.00029225,0.29186312,0.20326037,5.59688584,0.01016302,0.27984430,0.20000694,0.25693359,0.79673963,0.79450457
13,0.00009652,0.575401,0.181955,13.0862,0.239416,40,0,0.45699374,65536.0,0.273408,0.160826,13.4101,0.292138,0.165749,13.3521,0.314997,0.08785833,0.82681733,0.18195450,0.16082617,0.67880336,0.64760022,0.04623802,0.04287402,0.00410235,0.00324876,0.08187952,0.07237178,0.20364102,0.19428007,0.00693570,0.00643110,0.00041024,0.00032488,0.29286648,0.18966064,5.46101972,0.00948303,0.27305099,0.20000694,0.25074870,0.81033936,0.80867835
14,0.00009593,0.579520,0.189481,12.9525,0.238583,40,0,0.46406484,65536.0,0.267067,0.158679,13.6125,0.303319,0.164326,13.5040,0.326319,0.08589059,0.82107473,0.18948081,0.15867915,0.68268695,0.62998731,0.04553906,0.04250036,0.00417205,0.00289863,0.08526636,0.07140562,0.20480609,0.18899620,0.00683086,0.00637505,0.00041721,0.00028986,0.29732052,0.18981241,5.45416849,0.00949062,0.27270843,0.20000694,0.25393880,0.81018759,0.80698889
15,0.00009529,0.566827,0.180964,13.3203,0.238819,40,0,0.52121642,65536.0,0.270759,0.160364,13.3838,0.300744,0.165886,13.2756,0.324942,0.08589432,0.83977942,0.18096384,0.16036422,0.67735634,0.63959286,0.04564967,0.04237661,0.00389546,0.00361105,0.08143372,0.07216390,0.20320691,0.19187787,0.00684745,0.00635649,0.00038955,0.00036110,0.29187764,0.17803716,5.32095636,0.00890186,0.26604783,0.20000694,0.25100911,0.82196284,0.81914337
16,0.00009460,0.557237,0.173912,13.4173,0.263378,40,0,0.52425556,65536.0,0.262766,0.155097,13.6161,0.315423,0.161407,13.5133,0.336312,0.08627142,0.81997947,0.17391176,0.15509715,0.65327064,0.62093399,0.04416943,0.04246271,0.00368377,0.00322826,0.07826029,0.06979372,0.19598120,0.18628020,0.00662542,0.00636941,0.00036838,0.00032283,0.28123529,0.18361529,5.33641570,0.00918076,0.26682079,0.20000694,0.25257161,0.81638471,0.81327729
17,0.00009388,0.544738,0.162439,13.7921,0.276091,40,0,0.58758678,65536.0,0.260803,0.154918,13.4542,0.323379,0.161780,13.3676,0.342792,0.08515933,0.82867626,0.16243923,0.15491769,0.63366725,0.61456291,0.04523510,0.04220253,0.00427620,0.00390760,0.07309765,0.06971296,0.19010018,0.18436888,0.00678527,0.00633038,0.00042762,0.00039076,0.27041072,0.18520950,5.30133041,0.00926048,0.26506652,0.20000694,0.24801432,0.81479049,0.81077809
18,0.00009311,0.559098,0.169358,13.3975,0.269087,40,0,0.54090671,65536.0,0.256046,0.151778,13.8073,0.328244,0.159007,13.6688,0.346997,0.08455994,0.81841972,0.16935795,0.15177801,0.64418820,0.60375556,0.04497801,0.04198928,0.00526696,0.00321321,0.07621107,0.06830010,0.19325647,0.18112667,0.00674670,0.00629839,0.00052670,0.00032132,0.27674094,0.20189137,5.44524115,0.01009457,0.27226206,0.20000694,0.25354818,0.79810863,0.79497801
19,0.00009229,0.551865,0.168248,13.5775,0.261428,40,0,0.55225857,65536.0,0.254261,0.151662,13.7225,0.333984,0.159372,13.5761,0.350858,0.08452899,0.81693966,0.16824834,0.15166216,0.65276193,0.59787688,0.04410417,0.04160921,0.00506558,0.00408743,0.07571175,0.06824797,0.19582859,0.17936307,0.00661563,0.00624138,0.00050656,0.00040874,0.27866252,0.18202900,5.28202989,0.00910145,0.26410150,0.20000694,0.25113932,0.81797100,0.81619436
20,0.00009144,0.550517,0.165791,13.7805,0.262356,40,0,0.55095366,65536.0,0.262078,0.152483,13.7075,0.319115,0.159555,13.5705,0.333668,0.08675213,0.82924674,0.16579091,0.15248282,0.65214849,0.62225570,0.04403124,0.04292918,0.00362577,0.00344374,0.07460591,0.06861727,0.19564456,0.18667671,0.00660469,0.00643938,0.00036258,0.00034437,0.27721773,0.18114890,5.28484339,0.00905745,0.26424217,0.20000694,0.25351563,0.81885110,0.81518894
21,0.00009055,0.548167,0.161905,13.9682,0.271643,40,0,0.55592365,65536.0,0.242314,0.146151,13.8553,0.360220,0.153639,13.7982,0.373818,0.08368718,0.80795190,0.16190525,0.14615058,0.64138101,0.56651451,0.04330068,0.04148412,0.00415805,0.00369147,0.07285736,0.06576776,0.19241431,0.16995436,0.00649510,0.00622262,0.00041580,0.00036915,0.27218257,0.18442633,5.33525600,0.00922132,0.26676281,0.20000694,0.25195312,0.81557366,0.81331987
22,0.00008961,0.537530,0.162214,13.7825,0.282918,40,0,0.53395855,65536.0,0.254093,0.153954,13.5265,0.347301,0.163505,13.3681,0.352248,0.08501534,0.81877063,0.16221368,0.15395392,0.62861358,0.59389732,0.04350182,0.04171476,0.00489555,0.00387159,0.07299615,0.06927926,0.18858408,0.17816920,0.00652527,0.00625721,0.00048956,0.00038716,0.26859506,0.17256032,5.20613322,0.00862802,0.26030667,0.20000694,0.24654948,0.82743968,0.82431389
23,0.00008864,0.541267,0.164780,13.8150,0.258432,40,0,0.47460093,65536.0,0.236884,0.143730,14.0855,0.372513,0.151706,13.9838,0.382935,0.08248075,0.80086966,0.16477956,0.14372998,0.65433879,0.55219623,0.04355923,0.04123552,0.00358765,0.00361592,0.07415080,0.06467849,0.19630165,0.16565888,0.00653389,0.00618533,0.00035876,0.00036159,0.27734509,0.16617803,5.11225185,0.00830890,0.25561260,0.20000694,0.25074870,0.83382198,0.83268886
