epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
1,0.00010000,0.348217,0.258336,10.6339,0.184631,40,0,0.42497584,65536.0,0.309418,0.207983,11.7686,0.248424,0.213942,11.6634,0.270942,0.08899132,0.83266371,0.25833604,0.20798258,0.74504121,0.69669095,0.05418233,0.04393229,0.00325834,0.00228458,0.11625122,0.09359216,0.22351237,0.20900729,0.00812735,0.00658984,0.00032583,0.00022846
2,0.00009998,0.309372,0.213487,11.9064,0.235466,40,0,0.30336303,65536.0,0.301873,0.197904,12.2222,0.255653,0.201015,12.1521,0.281181,0.08876201,0.82666433,0.21348677,0.19790379,0.68559208,0.68685919,0.04889605,0.04341346,0.00291230,0.00246861,0.09606904,0.08905670,0.20567763,0.20605776,0.00733441,0.00651202,0.00029123,0.00024686
3,0.00009990,0.319037,0.221453,11.8448,0.221430,40,0,0.31756025,65536.0,0.301167,0.196886,12.1806,0.259024,0.200745,12.0867,0.284668,0.08843842,0.83116629,0.22145278,0.19688618,0.70642340,0.68588945,0.04742293,0.04365057,0.00342496,0.00253380,0.09965375,0.08859878,0.21192703,0.20576684,0.00711344,0.00654759,0.00034250,0.00025338
4,0.00009978,0.311936,0.212867,12.1495,0.226542,40,0,0.28296533,65536.0,0.293680,0.190399,12.2676,0.273037,0.196111,12.1630,0.297043,0.08864972,0.82662264,0.21286671,0.19039913,0.69634276,0.67073066,0.04663367,0.04338115,0.00248224,0.00273660,0.09579002,0.08567961,0.20890284,0.20121921,0.00699505,0.00650717,0.00024822,0.00027366
5,0.00009961,0.311877,0.211214,12.1962,0.228115,40,0,0.27704301,65536.0,0.290610,0.183630,12.7160,0.269272,0.186519,12.6413,0.295704,0.08720952,0.82340125,0.21121353,0.18362978,0.69896337,0.67106880,0.04529832,0.04270263,0.00346719,0.00250851,0.09504609,0.08263340,0.20968902,0.20132065,0.00679475,0.00640540,0.00034672,0.00025085
6,0.00009939,0.309786,0.208501,12.2918,0.229986,40,0,0.34048397,65536.0,0.288930,0.182604,12.6455,0.273226,0.186505,12.5467,0.299252,0.08754200,0.83473515,0.20850150,0.18260444,0.69621176,0.66680327,0.04487637,0.04309140,0.00365418,0.00253584,0.09382567,0.08217200,0.20886354,0.20004099,0.00673146,0.00646371,0.00036542,0.00025358
7,0.00009912,0.307413,0.207872,12.3117,0.234092,40,0,0.31852102,65536.0,0.282340,0.176245,12.8556,0.282217,0.181921,12.7302,0.305740,0.08799314,0.82044125,0.20787236,0.17624550,0.68868229,0.65440493,0.04550053,0.04292323,0.00440721,0.00269246,0.09354256,0.07931047,0.20660470,0.19632149,0.00682508,0.00643848,0.00044072,0.00026925
8,0.00009881,0.302359,0.200587,12.5709,0.238517,40,0,0.29968227,65536.0,0.284759,0.173386,12.8918,0.274683,0.176620,12.8660,0.299508,0.08866307,0.84127510,0.20058739,0.17338571,0.68352749,0.66657042,0.04467258,0.04346872,0.00335974,0.00243818,0.09026432,0.07802357,0.20505825,0.19997113,0.00670089,0.00652031,0.00033597,0.00024382
9,0.00009844,0.301136,0.199547,12.4637,0.241942,40,0,0.28406163,65536.0,0.279797,0.170762,13.0523,0.284793,0.175633,12.9375,0.309333,0.08765973,0.83315082,0.19954708,0.17076209,0.68007036,0.65423202,0.04604213,0.04299075,0.00412198,0.00235467,0.08979618,0.07684294,0.20402112,0.19626961,0.00690632,0.00644861,0.00041220,0.00023547
10,0.00009803,0.288606,0.183864,13.0332,0.255772,40,0,0.30722441,65536.0,0.275458,0.169479,13.0026,0.299148,0.176278,12.8679,0.320680,0.08761225,0.82542409,0.18386381,0.16947948,0.66242223,0.64169241,0.04530868,0.04277337,0.00344722,0.00268025,0.08273871,0.07626577,0.19872668,0.19250773,0.00679630,0.00641601,0.00034472,0.00026803
