epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
1,0.00010000,0.348259,0.258351,10.6321,0.184561,40,0,0.42523935,65536.0,0.309457,0.208062,11.7621,0.248678,0.214099,11.6564,0.271161,0.08908324,0.83256710,0.25835149,0.20806210,0.74515212,0.69668666,0.05419930,0.04396731,0.00325403,0.00227999,0.11625817,0.09362794,0.22354565,0.20900600,0.00812990,0.00659510,0.00032540,0.00022800
2,0.00009998,0.309410,0.213421,11.9086,0.235555,40,0,0.30460428,65536.0,0.301981,0.197625,12.2301,0.255512,0.200640,12.1635,0.281032,0.08886451,0.82673629,0.21342066,0.19762468,0.68581935,0.68760967,0.04889871,0.04346805,0.00289913,0.00246447,0.09603930,0.08893111,0.20574581,0.20628291,0.00733481,0.00652021,0.00028991,0.00024645
3,0.00009990,0.318706,0.221506,11.8577,0.221875,40,0,0.31603684,65536.0,0.300541,0.197826,12.1427,0.260619,0.201790,12.0343,0.286597,0.08771226,0.83230574,0.22150616,0.19782570,0.70524259,0.68243361,0.04745049,0.04343402,0.00337932,0.00273749,0.09967777,0.08902156,0.21157279,0.20473009,0.00711757,0.00651510,0.00033793,0.00027375
4,0.00009978,0.311321,0.212831,12.1543,0.226951,40,0,0.28442703,65536.0,0.292450,0.189655,12.2748,0.273574,0.195209,12.1732,0.297667,0.08790584,0.82868236,0.21283091,0.18965543,0.69440870,0.66787857,0.04655803,0.04307212,0.00240727,0.00280934,0.09577391,0.08534494,0.20832262,0.20036358,0.00698370,0.00646082,0.00024073,0.00028093
5,0.00009961,0.311502,0.211253,12.1747,0.229071,40,0,0.27658966,65536.0,0.288584,0.182952,12.6826,0.272121,0.185755,12.6209,0.298768,0.08640952,0.82466450,0.21125338,0.18295192,0.69772075,0.66537351,0.04514236,0.04250109,0.00349940,0.00268849,0.09506402,0.08232836,0.20931623,0.19961206,0.00677135,0.00637516,0.00034994,0.00026885
6,0.00009939,0.309204,0.208523,12.2741,0.231070,40,0,0.34154453,65536.0,0.289443,0.183411,12.6207,0.272741,0.186883,12.5346,0.299158,0.08721200,0.83303036,0.20852289,0.18341128,0.69440744,0.66731932,0.04468514,0.04299981,0.00343841,0.00262105,0.09383530,0.08253507,0.20832224,0.20019581,0.00670277,0.00644997,0.00034384,0.00026211
7,0.00009912,0.306824,0.207771,12.2846,0.235344,40,0,0.31378531,65536.0,0.281223,0.177141,12.7624,0.286982,0.183197,12.6399,0.310469,0.08740996,0.82146483,0.20777115,0.17714096,0.68699364,0.64941026,0.04526907,0.04281398,0.00438881,0.00264447,0.09349702,0.07971343,0.20609810,0.19482309,0.00679036,0.00642210,0.00043888,0.00026445
8,0.00009881,0.302116,0.200601,12.5547,0.239053,40,0,0.30588800,65536.0,0.282294,0.174380,12.8133,0.280756,0.177892,12.7862,0.305986,0.08700821,0.83496068,0.20060082,0.17438023,0.68275013,0.65702464,0.04446655,0.04291080,0.00350740,0.00279347,0.09027037,0.07847110,0.20482505,0.19710740,0.00666998,0.00643662,0.00035074,0.00027935
9,0.00009844,0.301192,0.200253,12.3966,0.243094,40,0,0.28095985,65536.0,0.278662,0.171871,12.9228,0.290196,0.177271,12.8189,0.314229,0.08697781,0.83143204,0.20025300,0.17187149,0.67933473,0.64885382,0.04577445,0.04274299,0.00411730,0.00252009,0.09011385,0.07734217,0.20380043,0.19465615,0.00686617,0.00641145,0.00041173,0.00025201
10,0.00009803,0.288109,0.184068,12.9971,0.257337,40,0,0.31077955,65536.0,0.275665,0.170338,12.9270,0.300083,0.177267,12.8005,0.321351,0.08726132,0.82841927,0.18406835,0.17033842,0.66058717,0.64109320,0.04505618,0.04271126,0.00343789,0.00278005,0.08283075,0.07665229,0.19817616,0.19232797,0.00675843,0.00640669,0.00034379,0.00027801
11,0.00009758,0.293838,0.191716,12.7149,0.250273,40,0,0.35553119,65536.0,0.276832,0.169905,12.9411,0.297155,0.177135,12.7910,0.319358,0.08677257,0.83802689,0.19171578,0.16990549,0.66787382,0.64554101,0.04496822,0.04248178,0.00458995,0.00339591,0.08627210,0.07645747,0.20036215,0.19366231,0.00674523,0.00637227,0.00045900,0.00033959
12,0.00009707,0.289043,0.183662,12.8859,0.256395,40,0,0.30483388,65536.0,0.271905,0.170229,12.8505,0.315470,0.178891,12.7032,0.331012,0.08695243,0.82264055,0.18366235,0.17022875,0.66389445,0.62876526,0.04537064,0.04257403,0.00420929,0.00285966,0.08264806,0.07660294,0.19916834,0.18862958,0.00680560,0.00638610,0.00042093,0.00028597
13,0.00009652,0.286249,0.182437,13.0593,0.261356,40,0,0.33522819,65536.0,0.271009,0.163791,13.1079,0.307031,0.171203,12.9801,0.325227,0.08589340,0.84004803,0.18243719,0.16379125,0.65682078,0.63547963,0.04438539,0.04240807,0.00448046,0.00297355,0.08209673,0.07370606,0.19704624,0.19064390,0.00665781,0.00636121,0.00044805,0.00029736
14,0.00009593,0.294380,0.188793,12.8519,0.247153,40,0,0.32043080,65536.0,0.265952,0.162098,13.1451,0.320728,0.169960,13.0393,0.336446,0.08775453,0.82520828,0.18879266,0.16209769,0.67494735,0.62098504,0.04407070,0.04291091,0.00328919,0.00275791,0.08495670,0.07294396,0.20248422,0.18629552,0.00661060,0.00643664,0.00032892,0.00027579
15,0.00009529,0.280404,0.174879,13.3738,0.267327,40,0,0.34923801,65536.0,0.264459,0.161193,13.1721,0.326797,0.169679,13.0580,0.338032,0.08768230,0.82626674,0.17487872,0.16119342,0.64856187,0.61742055,0.04456386,0.04297350,0.00455683,0.00249540,0.07869542,0.07253704,0.19456857,0.18522617,0.00668458,0.00644603,0.00045568,0.00024954
16,0.00009460,0.273687,0.165914,13.6246,0.274177,40,0,0.36032353,65536.0,0.258054,0.157694,13.3438,0.330902,0.164847,13.2535,0.349440,0.08459420,0.83192635,0.16591389,0.15769415,0.64031223,0.60161323,0.04384925,0.04200702,0.00354625,0.00306565,0.07466125,0.07096236,0.19209368,0.18048398,0.00657739,0.00630105,0.00035462,0.00030657
17,0.00009388,0.258650,0.159205,13.9218,0.306166,40,0,0.42079567,65536.0,0.258809,0.159382,13.3129,0.340309,0.168424,13.1951,0.345991,0.08685915,0.81042337,0.15920472,0.15938227,0.60018452,0.60148642,0.04358600,0.04240434,0.00414698,0.00280188,0.07164212,0.07172202,0.18005536,0.18044593,0.00653790,0.00636065,0.00041470,0.00028019
18,0.00009311,0.273834,0.172607,13.3939,0.285155,40,0,0.42323766,65536.0,0.262706,0.158011,13.2635,0.330248,0.166857,13.1406,0.335833,0.08807045,0.82685803,0.17260677,0.15801094,0.63045728,0.61609022,0.04382580,0.04307725,0.00449762,0.00312534,0.07767304,0.07110492,0.18913719,0.18482707,0.00657387,0.00646159,0.00044976,0.00031253
19,0.00009229,0.280671,0.170717,13.4685,0.263582,40,0,0.34773073,65536.0,0.250615,0.151565,13.6488,0.346934,0.159376,13.5374,0.359736,0.08416370,0.80956513,0.17071718,0.15156503,0.65643747,0.58594500,0.04381979,0.04181429,0.00344310,0.00354734,0.07682273,0.06820426,0.19693125,0.17578350,0.00657297,0.00627214,0.00034431,0.00035473
20,0.00009144,0.277799,0.166329,13.6493,0.261185,40,0,0.35082550,65536.0,0.242851,0.149175,13.7152,0.361088,0.155928,13.6566,0.381395,0.08161401,0.81957602,0.16632881,0.14917488,0.65300752,0.56394945,0.04445216,0.04107053,0.00380542,0.00377028,0.07484796,0.06712869,0.19590226,0.16918484,0.00666782,0.00616058,0.00038054,0.00037703
21,0.00009055,0.257684,0.152486,14.1858,0.302592,40,0,0.40324994,65536.0,0.246991,0.149015,13.7138,0.358254,0.157488,13.6143,0.365046,0.08586507,0.81099676,0.15248600,0.14901495,0.60693338,0.57760806,0.04317507,0.04205169,0.00509365,0.00344391,0.06861870,0.06705672,0.18208002,0.17328242,0.00647626,0.00630775,0.00050936,0.00034439
22,0.00008961,0.268641,0.165692,13.7373,0.290157,40,0,0.37456654,65536.0,0.238872,0.146421,13.8674,0.372790,0.154656,13.7905,0.378656,0.08444319,0.80301265,0.16569160,0.14642083,0.62357702,0.55475486,0.04309868,0.04170430,0.00541564,0.00300710,0.07456122,0.06588937,0.18707312,0.16642646,0.00646480,0.00625564,0.00054156,0.00030071
23,0.00008864,0.269854,0.161555,13.8714,0.280554,40,0,0.38066635,65536.0,0.250442,0.152790,13.4981,0.359052,0.162625,13.3495,0.354965,0.08431874,0.81510778,0.16155549,0.15279014,0.63473031,0.58349840,0.04246358,0.04154783,0.00365753,0.00404282,0.07269997,0.06875556,0.19041910,0.17504952,0.00636954,0.00623217,0.00036575,0.00040428
24,0.00008763,0.233395,0.141964,14.5198,0.358611,40,0,0.39803634,65536.0,0.237400,0.145375,13.9082,0.377984,0.153979,13.8513,0.378496,0.08483377,0.80988874,0.14196352,0.14537549,0.54216255,0.55125038,0.04169929,0.04162251,0.00607675,0.00363020,0.06388358,0.06541897,0.16264877,0.16537512,0.00625489,0.00624338,0.00060768,0.00036302
25,0.00008658,0.251065,0.150944,14.2674,0.319674,40,0,0.41523637,65536.0,0.232247,0.145796,13.8700,0.393365,0.154804,13.7814,0.392002,0.08202494,0.80012101,0.15094411,0.14579557,0.58816531,0.53364081,0.04189163,0.04104061,0.00407011,0.00390882,0.06792485,0.06560801,0.17644960,0.16009225,0.00628374,0.00615609,0.00040701,0.00039088
