epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_medrecl_loss,train_medrecl_weighted_loss,train_medrecl_weight,train_medrecl_structure_weight,train_medrecl_appearance_weight,train_medrecl_structure_gradient_scale,train_medrecl_appearance_gradient_scale,train_medrecl_structure_gradient_ratio,train_medrecl_appearance_gradient_ratio,train_medrecl_appearance_amplitude_loss,train_medrecl_appearance_contextual_loss,train_medrecl_appearance_stat_loss,train_medrecl_soft_positive_similarity,train_medrecl_false_negative_ratio,train_medrecl_invariance_loss
1,0.00010000,0.339739,0.248510,10.9041,0.197583,40,0,0.39278162,65536.0,0.306696,0.204402,11.8860,0.252317,0.209841,11.7945,0.275719,0.08943235,0.83203394,0.24851019,0.20440225,0.73135709,0.69288598,0.05413533,0.04427286,0.00381558,0.00207943,0.11182958,0.09198101,0.21940714,0.20786580,0.00812030,0.00664093,0.00038156,0.00020794,0.33973858,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.00009998,0.313619,0.219063,11.7916,0.234825,40,0,0.34783722,65536.0,0.301301,0.194901,12.2301,0.257222,0.198802,12.1729,0.281399,0.09117365,0.83520516,0.21906296,0.19490115,0.69141444,0.68908883,0.04786342,0.04442979,0.00436836,0.00204330,0.09857833,0.08770551,0.20742434,0.20672666,0.00717951,0.00666447,0.00043684,0.00020433,0.31361901,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.00009990,0.311001,0.216346,11.9702,0.241927,40,0,0.27783505,65536.0,0.297312,0.193086,12.2929,0.264483,0.197283,12.2050,0.289765,0.08843457,0.82908468,0.21634598,0.19308571,0.68768796,0.67893635,0.04650770,0.04333221,0.00362484,0.00242265,0.09735569,0.08688857,0.20630640,0.20368092,0.00697616,0.00649983,0.00036248,0.00024227,0.31100072,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.00009978,0.304164,0.202122,12.4422,0.237784,40,0,0.31633357,65536.0,0.294684,0.187244,12.5631,0.263540,0.190043,12.4981,0.289654,0.08837755,0.82725898,0.20212232,0.18724390,0.68670296,0.67894584,0.04597734,0.04327615,0.00301079,0.00249074,0.09095504,0.08425975,0.20601090,0.20368376,0.00689660,0.00649142,0.00030108,0.00024907,0.30416362,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.00009961,0.313045,0.211103,12.1415,0.221169,40,0,0.26002569,65536.0,0.291137,0.183441,12.5369,0.268891,0.188455,12.4547,0.292945,0.08822693,0.83091896,0.21110348,0.18344130,0.70281283,0.67285299,0.04619355,0.04314358,0.00275415,0.00260797,0.09499657,0.08254858,0.21084386,0.20185591,0.00692903,0.00647154,0.00027541,0.00026080,0.31304487,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.00009939,0.297604,0.196575,12.4343,0.248075,40,0,0.31055687,65536.0,0.288678,0.181829,12.6712,0.273275,0.184665,12.6039,0.299864,0.08696988,0.83744688,0.19657520,0.18182936,0.67265603,0.66719782,0.04616849,0.04315593,0.00423507,0.00221853,0.08845884,0.08182321,0.20179682,0.20015935,0.00692527,0.00647339,0.00042351,0.00022185,0.29760443,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,0.00009912,0.297516,0.194090,12.5467,0.245591,40,0,0.30439896,65536.0,0.285726,0.178486,12.7411,0.279341,0.184321,12.6142,0.303511,0.08701445,0.82373861,0.19408970,0.17848618,0.67618475,0.66250222,0.04549883,0.04250130,0.00495282,0.00281583,0.08734036,0.08031878,0.20285543,0.19875067,0.00682482,0.00637520,0.00049528,0.00028158,0.29751590,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,0.00009881,0.313442,0.209738,12.1743,0.221741,40,0,0.29849516,65536.0,0.281475,0.175608,12.7458,0.290247,0.181598,12.6458,0.313297,0.08746670,0.82925995,0.20973839,0.17560768,0.70602469,0.65249874,0.04556555,0.04280883,0.00417573,0.00280794,0.09438227,0.07902345,0.21180742,0.19574963,0.00683483,0.00642132,0.00041757,0.00028079,0.31344209,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9,0.00009844,0.295265,0.190197,12.7504,0.246007,40,0,0.32598749,65536.0,0.279538,0.173803,12.7945,0.292194,0.180397,12.6474,0.315566,0.08516839,0.83506783,0.19019720,0.17380320,0.67457041,0.64911724,0.04574448,0.04211261,0.00443420,0.00274593,0.08558874,0.07821144,0.20237113,0.19473518,0.00686167,0.00631689,0.00044342,0.00027459,0.29526496,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10,0.00009803,0.289959,0.186729,12.8944,0.257913,40,0,0.29694715,65536.0,0.276302,0.167635,12.9391,0.297415,0.173710,12.8687,0.317854,0.08774902,0.83332028,0.18672910,0.16763456,0.66348055,0.64716697,0.04375303,0.04311048,0.00323423,0.00249727,0.08402809,0.07543555,0.19904417,0.19415010,0.00656296,0.00646657,0.00032342,0.00024973,0.28995864,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
11,0.00009758,0.294052,0.189241,12.7811,0.250877,40,0,0.29506026,65536.0,0.274188,0.167849,12.9362,0.303898,0.175536,12.7905,0.323145,0.08611423,0.83971271,0.18924142,0.16784910,0.67278461,0.64001619,0.04440852,0.04248763,0.00396961,0.00278312,0.08515864,0.07553209,0.20183539,0.19200487,0.00666128,0.00637314,0.00039696,0.00027831,0.29405226,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12,0.00009707,0.281171,0.169502,13.4532,0.262164,40,0,0.30127745,65536.0,0.272786,0.164189,13.1078,0.303724,0.170926,12.9886,0.325642,0.08552393,0.83750823,0.16950243,0.16418891,0.65960793,0.64092545,0.04380932,0.04233801,0.00441188,0.00273059,0.07627609,0.07388501,0.19788239,0.19227764,0.00657140,0.00635070,0.00044119,0.00027306,0.28117106,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13,0.00009652,0.296619,0.188182,12.8766,0.241573,40,0,0.30505892,65536.0,0.268889,0.162068,13.1333,0.316209,0.170062,13.0143,0.330640,0.08763799,0.82337941,0.18818248,0.16206836,0.68328751,0.63077035,0.04395238,0.04282428,0.00357716,0.00303423,0.08468212,0.07293076,0.20498626,0.18923111,0.00659286,0.00642364,0.00035772,0.00030342,0.29661895,0.0000000000e+00,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
