epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,train_refinement_abs_delta,train_refinement_max_abs_delta,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rareclv2_patchnce_loss,train_rareclv2_weighted_patchnce_loss,train_rareclv2_effective_lambda,train_rareclv2_curriculum_stage,train_rareclv2_effective_hard_ratio,train_rareclv2_patchnce_active,train_rareclv2_hard_region_fraction,train_rareclv2_sampled_hard_fraction,train_rareclv2_positive_similarity
1,0.00010000,0.351273,0.260852,10.5382,0.179101,40,0,0.38949509,65536.0,0.00492125,0.00746460,0.310969,0.206804,11.7964,0.242516,0.213872,11.6406,0.264377,0.08755323,0.83119950,0.26085204,0.20680361,0.75109341,0.70378019,0.05455438,0.04328734,0.00378114,0.00280283,0.11738342,0.09306162,0.22532803,0.21113407,0.00818316,0.00649310,0.00037811,0.00028028,0.35127272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.00009998,0.307939,0.206947,12.1874,0.231101,40,0,0.32174526,65536.0,0.01854687,0.02817383,0.293142,0.184907,12.5380,0.266915,0.188861,12.4673,0.291931,0.08869577,0.83611282,0.20694702,0.18490685,0.69048922,0.67692963,0.04870525,0.04384922,0.00360560,0.00277337,0.09312616,0.08320808,0.20714677,0.20307890,0.00730579,0.00657738,0.00036056,0.00027734,0.30793928,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.00009990,0.306712,0.200164,12.4994,0.227310,40,0,0.30025588,65536.0,0.03429413,0.05347900,0.283053,0.172049,13.0027,0.277751,0.178095,12.8575,0.300697,0.08817481,0.83275993,0.20016426,0.17204860,0.69807656,0.66267776,0.04571229,0.04315860,0.00358081,0.00354366,0.09007392,0.07742186,0.20942297,0.19880334,0.00685684,0.00647379,0.00035808,0.00035437,0.30671181,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.00009978,0.297425,0.187443,12.9065,0.238099,40,0,0.30652158,65536.0,0.05034256,0.07550049,0.272946,0.161358,13.1831,0.298978,0.168545,13.0958,0.315359,0.08717155,0.84145411,0.18744287,0.16135836,0.68666015,0.64501058,0.04421247,0.04285762,0.00445588,0.00403006,0.08434929,0.07261126,0.20599805,0.19350318,0.00663187,0.00642864,0.00044559,0.00040301,0.29742480,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.00009961,0.300510,0.185235,12.9042,0.225449,40,0,0.27038094,65536.0,0.06208649,0.08886719,0.266201,0.151766,13.6966,0.308984,0.159739,13.5640,0.319689,0.09041672,0.82666411,0.18523454,0.15176567,0.69946474,0.63652828,0.04576731,0.04380132,0.00450104,0.00377757,0.08335554,0.06829455,0.20983943,0.19095849,0.00686510,0.00657020,0.00045010,0.00037776,0.30051017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.00009939,0.277684,0.161403,13.7394,0.258290,40,0,0.30008602,65536.0,0.06953278,0.09448242,0.261227,0.153136,13.5030,0.330502,0.163260,13.3208,0.326455,0.08881589,0.83694667,0.16140345,0.15313573,0.65987904,0.61794403,0.04396741,0.04321136,0.00493284,0.00450731,0.07263155,0.06891108,0.19796372,0.18538322,0.00659511,0.00648170,0.00049328,0.00045073,0.27768367,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,0.00009912,0.276857,0.161375,13.6635,0.263354,40,0,0.30210562,65536.0,0.07633514,0.09765625,0.258103,0.150574,13.5997,0.335162,0.160986,13.4407,0.316676,0.08895373,0.83025498,0.16137511,0.15057445,0.65694461,0.61139324,0.04394898,0.04326722,0.00562387,0.00436047,0.07261880,0.06775850,0.19708339,0.18341798,0.00659235,0.00649008,0.00056239,0.00043605,0.27685692,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,0.00009881,0.274239,0.160182,13.7718,0.269388,40,0,0.30945626,65536.0,0.07962036,0.09870605,0.260813,0.148224,13.6735,0.327371,0.158806,13.5299,0.308763,0.08902910,0.83928134,0.16018194,0.14822351,0.65030817,0.62353334,0.04379090,0.04362138,0.00495991,0.00509120,0.07208187,0.06670058,0.19509246,0.18706001,0.00656864,0.00654321,0.00049599,0.00050912,0.27423896,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9,0.00009844,0.279148,0.164489,13.4607,0.266326,40,0,0.33458682,65536.0,0.08309021,0.09930420,0.256614,0.151040,13.6248,0.337501,0.162141,13.4463,0.304101,0.08896194,0.82036836,0.16448926,0.15104036,0.65939408,0.60594407,0.04355951,0.04311626,0.00775209,0.00395672,0.07402017,0.06796816,0.19781823,0.18178323,0.00653393,0.00646744,0.00077521,0.00039567,0.27914753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10,0.00009803,0.268471,0.156186,13.6649,0.284811,40,0,0.29724852,65536.0,0.08410034,0.09959717,0.253536,0.145340,13.8944,0.340531,0.155832,13.7195,0.308008,0.08939855,0.82975450,0.15618557,0.14533995,0.63669101,0.60383292,0.04321549,0.04356967,0.00698246,0.00447624,0.07028351,0.06540298,0.19100731,0.18114988,0.00648232,0.00653545,0.00069825,0.00044762,0.26847139,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
